[2019-08-24 13:54:25,783 | INFO] starting up on 192.168.1.180 port 40000
[2019-08-24 13:55:55,005 | INFO] Receiver thread is now running...
[2019-08-24 13:55:55,588 | INFO] 77d1
[2019-08-24 13:55:56,310 | INFO] 08ae
[2019-08-24 13:55:57,035 | INFO] 77d1
[2019-08-24 13:55:57,761 | INFO] 08ae
[2019-08-24 13:55:58,487 | INFO] 77d1
[2019-08-24 13:55:59,214 | INFO] 08ae
[2019-08-24 13:55:59,940 | INFO] 77d1
[2019-08-24 13:56:00,639 | INFO] Sending kill to threads...
[2019-08-24 13:56:00,639 | INFO] Sender thread terminated
[2019-08-24 13:56:00,663 | INFO] 08ae
[2019-08-24 13:56:01,165 | INFO] Receiver thread terminated
[2019-08-24 13:56:01,165 | INFO] Program terminated
