[2019-08-24 11:34:51,134 | INFO] Receiver thread now running
[2019-08-24 11:36:22,266 | INFO] d1
[2019-08-24 11:36:22,973 | INFO] 08
[2019-08-24 11:36:22,986 | INFO] ae
[2019-08-24 11:36:23,702 | INFO] 77
[2019-08-24 11:36:23,715 | INFO] d1
[2019-08-24 11:36:24,427 | INFO] 08
[2019-08-24 11:36:24,439 | INFO] ae
[2019-08-24 11:36:25,163 | INFO] 77
[2019-08-24 11:36:25,175 | INFO] d1
[2019-08-24 11:36:25,876 | INFO] 08
[2019-08-24 11:36:25,889 | INFO] ae
[2019-08-24 11:36:26,602 | INFO] 77
[2019-08-24 11:36:26,614 | INFO] d1
[2019-08-24 11:36:27,327 | INFO] 08
[2019-08-24 11:36:27,346 | INFO] ae
[2019-08-24 11:36:28,054 | INFO] 77
[2019-08-24 11:36:28,067 | INFO] d1
[2019-08-24 11:36:28,782 | INFO] 08
[2019-08-24 11:36:28,793 | INFO] ae
[2019-08-24 11:36:29,512 | INFO] 77
[2019-08-24 11:36:29,532 | INFO] d1
[2019-08-24 11:36:30,229 | INFO] 08
[2019-08-24 11:36:30,243 | INFO] ae
[2019-08-24 11:36:30,955 | INFO] 77
[2019-08-24 11:36:30,969 | INFO] d1
[2019-08-24 11:36:31,681 | INFO] 08
[2019-08-24 11:36:31,698 | INFO] ae
[2019-08-24 11:36:32,407 | INFO] 77
[2019-08-24 11:36:32,413 | INFO] d1
[2019-08-24 11:36:33,131 | INFO] 08
[2019-08-24 11:36:33,142 | INFO] ae
[2019-08-24 11:36:33,856 | INFO] 77
[2019-08-24 11:36:33,868 | INFO] d1
[2019-08-24 11:36:34,582 | INFO] 08
[2019-08-24 11:36:34,595 | INFO] ae
[2019-08-24 11:36:35,313 | INFO] 77
[2019-08-24 11:36:35,318 | INFO] d1
[2019-08-24 11:36:36,031 | INFO] 08
[2019-08-24 11:36:36,045 | INFO] ae
[2019-08-24 11:36:36,759 | INFO] 77
[2019-08-24 11:36:36,770 | INFO] d1
[2019-08-24 11:36:37,498 | INFO] 08
[2019-08-24 11:36:37,511 | INFO] ae
[2019-08-24 11:36:38,212 | INFO] 77
[2019-08-24 11:36:38,224 | INFO] d1
[2019-08-24 11:36:38,932 | INFO] 08
[2019-08-24 11:36:38,942 | INFO] ae
[2019-08-24 11:36:39,661 | INFO] 77
[2019-08-24 11:36:39,672 | INFO] d1
[2019-08-24 11:36:40,386 | INFO] 08
[2019-08-24 11:36:40,397 | INFO] ae
[2019-08-24 11:36:41,111 | INFO] 77
[2019-08-24 11:36:41,125 | INFO] d1
[2019-08-24 11:36:41,835 | INFO] 08
[2019-08-24 11:36:41,846 | INFO] ae
[2019-08-24 11:36:42,580 | INFO] 77
[2019-08-24 11:36:42,593 | INFO] d1
[2019-08-24 11:36:43,289 | INFO] 08
[2019-08-24 11:36:43,301 | INFO] ae
[2019-08-24 11:36:44,017 | INFO] 77
[2019-08-24 11:36:44,034 | INFO] d1
[2019-08-24 11:36:44,739 | INFO] 08
[2019-08-24 11:36:44,794 | INFO] ae
[2019-08-24 11:36:45,462 | INFO] 77
[2019-08-24 11:36:45,476 | INFO] d1
[2019-08-24 11:36:46,194 | INFO] 08
[2019-08-24 11:36:46,207 | INFO] ae
[2019-08-24 11:36:46,914 | INFO] 77
[2019-08-24 11:36:46,927 | INFO] d1
[2019-08-24 11:36:47,640 | INFO] 08
[2019-08-24 11:36:47,652 | INFO] ae
[2019-08-24 11:36:48,368 | INFO] 77
[2019-08-24 11:36:48,374 | INFO] d1
[2019-08-24 11:36:49,095 | INFO] 08
[2019-08-24 11:36:49,112 | INFO] ae
[2019-08-24 11:36:49,820 | INFO] 77
[2019-08-24 11:36:49,825 | INFO] d1
[2019-08-24 11:36:50,542 | INFO] 08
[2019-08-24 11:36:50,554 | INFO] ae
[2019-08-24 11:36:51,274 | INFO] 77
[2019-08-24 11:36:51,292 | INFO] d1
[2019-08-24 11:36:52,002 | INFO] 08
[2019-08-24 11:36:52,015 | INFO] ae
[2019-08-24 11:36:52,722 | INFO] 77
[2019-08-24 11:36:52,734 | INFO] d1
[2019-08-24 11:36:53,500 | INFO] 08
[2019-08-24 11:36:53,512 | INFO] ae
[2019-08-24 11:36:54,168 | INFO] 77
[2019-08-24 11:36:54,191 | INFO] d1
[2019-08-24 11:36:54,901 | INFO] 08
[2019-08-24 11:36:54,907 | INFO] ae
[2019-08-24 11:36:55,616 | INFO] 77
[2019-08-24 11:36:55,628 | INFO] d1
[2019-08-24 11:36:56,348 | INFO] 08
[2019-08-24 11:36:56,365 | INFO] ae
[2019-08-24 11:36:57,069 | INFO] 77
[2019-08-24 11:36:57,082 | INFO] d1
[2019-08-24 11:36:57,794 | INFO] 08
[2019-08-24 11:36:57,810 | INFO] ae
[2019-08-24 11:36:58,518 | INFO] 77
[2019-08-24 11:36:58,530 | INFO] d1
[2019-08-24 11:36:59,247 | INFO] 08
[2019-08-24 11:36:59,258 | INFO] ae
[2019-08-24 11:36:59,988 | INFO] 77
[2019-08-24 11:37:00,005 | INFO] d1
[2019-08-24 11:37:00,701 | INFO] 08
[2019-08-24 11:37:00,707 | INFO] ae
[2019-08-24 11:37:01,426 | INFO] 77
[2019-08-24 11:37:01,437 | INFO] d1
[2019-08-24 11:37:02,151 | INFO] 08
[2019-08-24 11:37:02,168 | INFO] ae
[2019-08-24 11:37:02,872 | INFO] 77
[2019-08-24 11:37:02,889 | INFO] d1
[2019-08-24 11:37:03,600 | INFO] 08
[2019-08-24 11:37:03,612 | INFO] ae
[2019-08-24 11:37:04,326 | INFO] 77
[2019-08-24 11:37:04,342 | INFO] d1
[2019-08-24 11:37:05,052 | INFO] 08
[2019-08-24 11:37:05,063 | INFO] ae
[2019-08-24 11:37:05,778 | INFO] 77
[2019-08-24 11:37:05,795 | INFO] d1
