[2019-08-19 11:00:53,955 | INFO] Receiver thread now running
[2019-08-19 11:00:54,039 | INFO] 24
[2019-08-19 11:00:54,051 | INFO] 4e
[2019-08-19 11:00:54,152 | INFO] 4e
[2019-08-19 11:00:54,176 | INFO] 24
[2019-08-19 11:00:54,246 | INFO] 4e
[2019-08-19 11:00:54,359 | INFO] 24
[2019-08-19 11:00:54,383 | INFO] 4e
[2019-08-19 11:00:54,455 | INFO] 4e
[2019-08-19 11:00:54,478 | INFO] 24
[2019-08-19 11:00:54,551 | INFO] 4e
[2019-08-19 11:00:54,562 | INFO] 4e
[2019-08-19 11:00:54,647 | INFO] 24
[2019-08-19 11:00:54,677 | INFO] 4e
[2019-08-19 11:00:54,743 | INFO] 4e
[2019-08-19 11:00:54,767 | INFO] 24
[2019-08-19 11:00:54,839 | INFO] 4e
[2019-08-19 11:00:54,863 | INFO] 4e
[2019-08-19 11:00:54,950 | INFO] 24
[2019-08-19 11:00:54,967 | INFO] 4e
[2019-08-19 11:00:55,111 | INFO] 4e
[2019-08-19 11:00:55,129 | INFO] 24
[2019-08-19 11:00:55,146 | INFO] 4e
[2019-08-19 11:00:55,170 | INFO] 4e
[2019-08-19 11:00:55,239 | INFO] 24
[2019-08-19 11:00:55,256 | INFO] 4e
[2019-08-19 11:00:55,334 | INFO] 4e
[2019-08-19 11:00:55,358 | INFO] 24
[2019-08-19 11:00:55,430 | INFO] 16
[2019-08-19 11:00:55,454 | INFO] 6f
[2019-08-19 11:00:55,477 | INFO] 95
[2019-08-19 11:00:55,501 | INFO] be
[2019-08-19 11:00:55,525 | INFO] d6
[2019-08-19 11:00:55,548 | INFO] e6
[2019-08-19 11:00:55,560 | INFO] f8
[2019-08-19 11:00:55,583 | INFO] 4e
[2019-08-19 11:00:55,600 | INFO] 4e
[2019-08-19 11:00:55,618 | INFO] 24
[2019-08-19 11:00:55,636 | INFO] 4e
[2019-08-19 11:00:55,659 | INFO] 4e
[2019-08-19 11:00:55,683 | INFO] 24
[2019-08-19 11:00:55,750 | INFO] 4e
[2019-08-19 11:00:55,773 | INFO] 4e
[2019-08-19 11:00:55,846 | INFO] 24
[2019-08-19 11:00:55,869 | INFO] 4e
[2019-08-19 11:00:55,942 | INFO] 4e
[2019-08-19 11:00:55,966 | INFO] 24
[2019-08-19 11:00:56,038 | INFO] 4e
[2019-08-19 11:00:56,062 | INFO] 4e
[2019-08-19 11:00:56,150 | INFO] 24
[2019-08-19 11:00:56,162 | INFO] 4e
[2019-08-19 11:00:56,246 | INFO] 4e
[2019-08-19 11:00:56,269 | INFO] 24
[2019-08-19 11:00:56,342 | INFO] 4e
[2019-08-19 11:00:56,366 | INFO] 4e
[2019-08-19 11:00:56,438 | INFO] 24
[2019-08-19 11:00:56,450 | INFO] 4e
[2019-08-19 11:00:56,533 | INFO] 4e
[2019-08-19 11:00:56,557 | INFO] 24
[2019-08-19 11:00:56,646 | INFO] 4e
[2019-08-19 11:00:56,670 | INFO] 4e
[2019-08-19 11:00:56,742 | INFO] 24
[2019-08-19 11:00:56,765 | INFO] 4e
[2019-08-19 11:00:56,837 | INFO] 4e
[2019-08-19 11:00:56,860 | INFO] 24
[2019-08-19 11:00:56,933 | INFO] 4e
[2019-08-19 11:00:56,945 | INFO] 4e
[2019-08-19 11:00:57,046 | INFO] 24
[2019-08-19 11:00:57,070 | INFO] 4e
[2019-08-19 11:00:57,158 | INFO] 4e
[2019-08-19 11:00:57,182 | INFO] 24
[2019-08-19 11:00:57,237 | INFO] 4e
[2019-08-19 11:00:57,255 | INFO] 4e
[2019-08-19 11:00:57,349 | INFO] 24
[2019-08-19 11:00:57,373 | INFO] 4e
[2019-08-19 11:00:57,445 | INFO] 4e
[2019-08-19 11:00:57,463 | INFO] 24
[2019-08-19 11:00:57,542 | INFO] 4e
[2019-08-19 11:00:57,565 | INFO] 4e
[2019-08-19 11:00:57,653 | INFO] 24
[2019-08-19 11:00:57,659 | INFO] 4e
[2019-08-19 11:00:57,749 | INFO] 4e
[2019-08-19 11:00:57,773 | INFO] 24
[2019-08-19 11:00:57,845 | INFO] 4e
[2019-08-19 11:00:57,868 | INFO] 4e
[2019-08-19 11:00:57,942 | INFO] 24
[2019-08-19 11:00:57,951 | INFO] 4e
[2019-08-19 11:01:59,305 | INFO] Receiver thread now running
[2019-08-19 11:02:01,821 | INFO] Receiver thread now running
[2019-08-19 11:02:52,899 | INFO] Receiver thread now running
[2019-08-19 11:02:55,479 | INFO] f8
[2019-08-19 11:03:00,499 | INFO] f8
[2019-08-19 11:03:05,484 | INFO] f8
[2019-08-19 11:03:10,478 | INFO] f8
[2019-08-19 11:03:15,485 | INFO] f8
[2019-08-19 11:03:20,485 | INFO] f8
[2019-08-19 11:03:25,469 | INFO] f8
[2019-08-19 11:03:30,475 | INFO] f8
[2019-08-19 11:03:33,080 | INFO] Receiver thread now running
[2019-08-19 11:04:40,476 | INFO] fc
[2019-08-19 11:04:45,483 | INFO] fc
[2019-08-19 11:04:50,462 | INFO] fc
[2019-08-19 11:04:55,474 | INFO] fc
[2019-08-19 11:05:00,464 | INFO] fc
[2019-08-19 11:05:05,469 | INFO] fc
[2019-08-19 11:05:10,467 | INFO] fc
[2019-08-19 11:07:25,623 | INFO] Receiver thread now running
[2019-08-19 11:09:40,758 | INFO] f9
[2019-08-19 11:20:09,005 | INFO] Receiver thread now running
