[2019-08-31 12:21:50,851 | INFO] starting up on 172.16.2.191 port 39001
[2019-08-31 12:21:50,852 | INFO] Sender thread is now running...
[2019-08-31 12:21:50,852 | INFO] Receiver thread is now running...
[2019-08-31 12:21:50,925 | INFO] e6
[2019-08-31 12:21:50,926 | INFO] f9
[2019-08-31 12:21:50,927 | INFO] ef
[2019-08-31 12:21:50,927 | INFO] f7
[2019-08-31 12:21:50,928 | INFO] 4f
[2019-08-31 12:21:50,929 | INFO] 1a
[2019-08-31 12:21:50,929 | INFO] 24
[2019-08-31 12:21:50,930 | INFO] 6f
[2019-08-31 12:21:51,025 | INFO] 81
[2019-08-31 12:21:51,026 | INFO] be
[2019-08-31 12:21:51,026 | INFO] 4f
[2019-08-31 12:21:51,027 | INFO] c6
[2019-08-31 12:21:51,028 | INFO] e6
[2019-08-31 12:21:51,028 | INFO] f9
[2019-08-31 12:21:51,029 | INFO] ef
[2019-08-31 12:21:51,030 | INFO] f7
[2019-08-31 12:21:51,128 | INFO] 4f
[2019-08-31 12:21:51,129 | INFO] 1a
[2019-08-31 12:21:51,130 | INFO] 24
[2019-08-31 12:21:51,130 | INFO] 6f
[2019-08-31 12:21:51,131 | INFO] 81
[2019-08-31 12:21:51,131 | INFO] be
[2019-08-31 12:21:51,132 | INFO] 4e
[2019-08-31 12:21:51,132 | INFO] c6
[2019-08-31 12:21:51,236 | INFO] e6
[2019-08-31 12:21:51,237 | INFO] f9
[2019-08-31 12:21:51,237 | INFO] ef
[2019-08-31 12:21:51,238 | INFO] f7
[2019-08-31 12:21:51,238 | INFO] 4e
[2019-08-31 12:21:51,239 | INFO] 1a
[2019-08-31 12:21:51,239 | INFO] 24
[2019-08-31 12:21:51,240 | INFO] 6f
[2019-08-31 12:21:51,329 | INFO] 81
[2019-08-31 12:21:51,330 | INFO] be
[2019-08-31 12:21:51,330 | INFO] 4e
[2019-08-31 12:21:51,331 | INFO] c6
[2019-08-31 12:21:51,331 | INFO] e6
[2019-08-31 12:21:51,332 | INFO] f9
[2019-08-31 12:21:51,332 | INFO] ef
[2019-08-31 12:21:51,333 | INFO] f7
[2019-08-31 12:21:51,428 | INFO] 4e
[2019-08-31 12:21:51,430 | INFO] 1a
[2019-08-31 12:21:51,432 | INFO] 24
[2019-08-31 12:21:51,433 | INFO] 6f
[2019-08-31 12:21:51,435 | INFO] 81
[2019-08-31 12:21:51,437 | INFO] be
[2019-08-31 12:21:51,438 | INFO] 4e
[2019-08-31 12:21:51,440 | INFO] c6
[2019-08-31 12:21:51,527 | INFO] e6
[2019-08-31 12:21:51,528 | INFO] f9
[2019-08-31 12:21:51,528 | INFO] ef
[2019-08-31 12:21:51,529 | INFO] f7
[2019-08-31 12:21:51,530 | INFO] 4f
[2019-08-31 12:21:51,530 | INFO] 1a
[2019-08-31 12:21:51,531 | INFO] 24
[2019-08-31 12:21:51,532 | INFO] 6f
[2019-08-31 12:21:51,627 | INFO] 81
[2019-08-31 12:21:51,628 | INFO] be
[2019-08-31 12:21:51,629 | INFO] 4f
[2019-08-31 12:21:51,629 | INFO] c6
[2019-08-31 12:21:51,629 | INFO] e6
[2019-08-31 12:21:51,630 | INFO] f9
[2019-08-31 12:21:51,630 | INFO] ef
[2019-08-31 12:21:51,631 | INFO] f7
[2019-08-31 12:21:51,736 | INFO] 4e
[2019-08-31 12:21:51,737 | INFO] 1a
[2019-08-31 12:21:51,738 | INFO] 24
[2019-08-31 12:21:51,740 | INFO] 6f
[2019-08-31 12:21:51,741 | INFO] 81
[2019-08-31 12:21:51,742 | INFO] be
[2019-08-31 12:21:51,743 | INFO] 4f
[2019-08-31 12:21:51,744 | INFO] c6
[2019-08-31 12:21:51,825 | INFO] e6
[2019-08-31 12:21:51,826 | INFO] f9
[2019-08-31 12:21:51,827 | INFO] ef
[2019-08-31 12:21:51,828 | INFO] f7
[2019-08-31 12:21:51,829 | INFO] 4f
[2019-08-31 12:21:51,829 | INFO] 1a
[2019-08-31 12:21:51,830 | INFO] 24
[2019-08-31 12:21:51,830 | INFO] 6f
[2019-08-31 12:21:51,929 | INFO] 81
[2019-08-31 12:21:51,929 | INFO] be
[2019-08-31 12:21:51,930 | INFO] 4e
[2019-08-31 12:21:51,930 | INFO] c6
[2019-08-31 12:21:51,931 | INFO] e6
[2019-08-31 12:21:51,932 | INFO] f9
[2019-08-31 12:21:51,932 | INFO] ef
[2019-08-31 12:21:51,933 | INFO] f7
[2019-08-31 12:21:52,027 | INFO] 4e
[2019-08-31 12:21:52,028 | INFO] 1a
[2019-08-31 12:21:52,029 | INFO] 24
[2019-08-31 12:21:52,030 | INFO] 6f
[2019-08-31 12:21:52,031 | INFO] 81
[2019-08-31 12:21:52,032 | INFO] be
[2019-08-31 12:21:52,033 | INFO] 4f
[2019-08-31 12:21:52,033 | INFO] c6
[2019-08-31 12:21:52,129 | INFO] e6
[2019-08-31 12:21:52,130 | INFO] f9
[2019-08-31 12:21:52,132 | INFO] ef
[2019-08-31 12:21:52,133 | INFO] f7
[2019-08-31 12:21:52,134 | INFO] 4e
[2019-08-31 12:21:52,135 | INFO] 1a
[2019-08-31 12:21:52,136 | INFO] 24
[2019-08-31 12:21:52,137 | INFO] 6f
[2019-08-31 12:21:52,231 | INFO] 81
[2019-08-31 12:21:52,231 | INFO] be
[2019-08-31 12:21:52,232 | INFO] 4e
[2019-08-31 12:21:52,233 | INFO] c6
[2019-08-31 12:21:52,233 | INFO] e6
[2019-08-31 12:21:52,233 | INFO] f9
[2019-08-31 12:21:52,234 | INFO] ef
[2019-08-31 12:21:52,234 | INFO] f7
[2019-08-31 12:21:52,326 | INFO] 4e
