[2019-08-27 10:49:55,708 | INFO] starting up on 172.16.2.190 port 50000
[2019-08-27 10:49:55,708 | INFO] Sender thread is now running...
[2019-08-27 10:49:55,708 | INFO] Receiver thread is now running...
[2019-08-27 10:49:58,583 | INFO] Sending kill to threads...
[2019-08-27 10:49:58,676 | INFO] Sender thread terminated
[2019-08-27 10:49:58,770 | INFO] Receiver thread terminated
[2019-08-27 10:49:58,770 | INFO] Program terminated
[2019-08-27 10:50:16,976 | INFO] starting up on 172.16.2.190 port 50000
[2019-08-27 10:50:16,976 | INFO] Sender thread is now running...
[2019-08-27 10:50:16,976 | INFO] Receiver thread is now running...
[2019-08-27 10:50:24,115 | ERROR] RX disconnected 6.123594284057617
[2019-08-27 10:50:26,552 | INFO] Sending kill to threads...
[2019-08-27 10:50:26,599 | INFO] Sender thread terminated
[2019-08-27 10:50:27,693 | INFO] Receiver thread terminated
[2019-08-27 10:50:27,693 | INFO] Program terminated
[2019-08-27 10:51:16,063 | INFO] starting up on 172.16.2.190 port 50000
[2019-08-27 10:51:16,066 | INFO] Sender thread is now running...
[2019-08-27 10:51:16,067 | INFO] Receiver thread is now running...
[2019-08-27 10:51:19,962 | INFO] 77d1
[2019-08-27 10:51:20,686 | INFO] 08ae
[2019-08-27 10:51:21,413 | INFO] 77d1
[2019-08-27 10:51:22,138 | INFO] 08ae
[2019-08-27 10:51:22,864 | INFO] 77d1
[2019-08-27 10:51:23,589 | INFO] 08ae
[2019-08-27 10:51:24,316 | INFO] 77d1
[2019-08-27 10:51:25,040 | INFO] 08ae
[2019-08-27 10:51:25,767 | INFO] 77d1
[2019-08-27 10:51:26,491 | INFO] 08ae
[2019-08-27 10:51:27,218 | INFO] 77d1
[2019-08-27 10:51:27,941 | INFO] 08ae
[2019-08-27 10:51:28,668 | INFO] 77d1
[2019-08-27 10:51:29,392 | INFO] 08ae
[2019-08-27 10:51:30,117 | INFO] 77d1
[2019-08-27 10:51:30,844 | INFO] 08ae
[2019-08-27 10:51:31,570 | INFO] 77d1
[2019-08-27 10:51:32,293 | INFO] 08ae
[2019-08-27 10:51:33,019 | INFO] 77d1
[2019-08-27 10:51:33,745 | INFO] 08ae
[2019-08-27 10:51:34,472 | INFO] 77d1
[2019-08-27 10:51:35,195 | INFO] 08ae
[2019-08-27 10:51:35,921 | INFO] 77d1
[2019-08-27 10:51:36,648 | INFO] 08ae
[2019-08-27 10:51:37,374 | INFO] 77d1
[2019-08-27 10:51:38,097 | INFO] 08ae
[2019-08-27 10:51:38,823 | INFO] 77d1
[2019-08-27 10:51:39,547 | INFO] 08ae
[2019-08-27 10:51:40,273 | INFO] 77d1
[2019-08-27 10:51:40,998 | INFO] 08ae
[2019-08-27 10:51:41,724 | INFO] 77d1
[2019-08-27 10:51:42,449 | INFO] 08ae
[2019-08-27 10:51:43,175 | INFO] 77d1
[2019-08-27 10:51:43,900 | INFO] 08ae
[2019-08-27 10:51:44,626 | INFO] 77d1
[2019-08-27 10:51:45,351 | INFO] 08ae
[2019-08-27 10:51:46,077 | INFO] 77d1
[2019-08-27 10:51:46,802 | INFO] 08ae
[2019-08-27 10:51:47,528 | INFO] 77d1
[2019-08-27 10:51:48,253 | INFO] 08ae
[2019-08-27 10:51:48,979 | INFO] 77d1
[2019-08-27 10:51:49,704 | INFO] 08ae
[2019-08-27 10:51:50,430 | INFO] 77d1
[2019-08-27 10:51:51,156 | INFO] 08ae
