[2019-08-26 16:23:55,462 | INFO] starting up on 172.16.2.190 port 50002
[2019-08-26 16:23:55,463 | INFO] Sender thread is now running...
[2019-08-26 16:23:55,464 | INFO] Receiver thread is now running...
[2019-08-26 16:23:58,097 | INFO] Sending kill to threads...
[2019-08-26 16:23:58,193 | INFO] Sender thread terminated
[2019-08-26 16:23:58,193 | INFO] Program terminated
[2019-08-26 16:23:59,423 | INFO] starting up on 172.16.2.190 port 50002
[2019-08-26 16:23:59,426 | INFO] Sender thread is now running...
[2019-08-26 16:23:59,426 | INFO] Receiver thread is now running...
[2019-08-26 16:24:00,649 | INFO] Sending kill to threads...
[2019-08-26 16:24:00,740 | INFO] Sender thread terminated
[2019-08-26 16:24:00,741 | INFO] Program terminated
[2019-08-26 16:24:06,131 | INFO] starting up on 172.16.2.190 port 50002
[2019-08-26 16:24:06,133 | INFO] Sender thread is now running...
[2019-08-26 16:24:06,134 | INFO] Receiver thread is now running...
[2019-08-26 16:24:07,469 | INFO] Sending kill to threads...
[2019-08-26 16:24:07,544 | INFO] Sender thread terminated
[2019-08-26 16:24:07,546 | INFO] Program terminated
[2019-08-26 16:24:18,596 | INFO] starting up on 172.16.2.190 port 50002
[2019-08-26 16:24:18,598 | INFO] Sender thread is now running...
[2019-08-26 16:24:18,599 | INFO] Receiver thread is now running...
[2019-08-26 16:24:23,165 | INFO] Sending kill to threads...
[2019-08-26 16:24:23,241 | INFO] Sender thread terminated
[2019-08-26 16:24:23,243 | INFO] Program terminated
[2019-08-26 16:24:30,671 | INFO] starting up on 172.16.2.190 port 50002
[2019-08-26 16:24:30,673 | INFO] Sender thread is now running...
[2019-08-26 16:24:30,674 | INFO] Receiver thread is now running...
[2019-08-26 16:24:33,161 | INFO] Sending kill to threads...
[2019-08-26 16:24:33,197 | INFO] Sender thread terminated
[2019-08-26 16:24:33,200 | INFO] Program terminated
[2019-08-26 16:24:37,224 | INFO] starting up on 172.16.2.190 port 50002
[2019-08-26 16:24:37,226 | INFO] Sender thread is now running...
[2019-08-26 16:24:37,227 | INFO] Receiver thread is now running...
[2019-08-26 16:24:38,309 | INFO] Sending kill to threads...
[2019-08-26 16:24:38,342 | INFO] Sender thread terminated
