[2019-08-23 16:26:25,950 | INFO] starting up on 192.168.1.180 port 39001
[2019-08-23 16:26:25,954 | INFO] Sender thread is now running...
[2019-08-23 16:26:25,955 | INFO] Receiver thread is now running...
[2019-08-23 16:26:26,304 | INFO] 08
[2019-08-23 16:26:26,315 | INFO] ae
[2019-08-23 16:26:27,040 | INFO] d1
[2019-08-23 16:26:27,753 | INFO] 09
[2019-08-23 16:26:27,765 | INFO] af
[2019-08-23 16:26:27,766 | INFO] 77
[2019-08-23 16:26:28,491 | INFO] d1
[2019-08-23 16:26:29,204 | INFO] 08
[2019-08-23 16:26:29,216 | INFO] ae
[2019-08-23 16:26:29,217 | INFO] 77
[2019-08-23 16:26:29,941 | INFO] d1
[2019-08-23 16:26:30,655 | INFO] 09
[2019-08-23 16:26:30,667 | INFO] af
[2019-08-23 16:26:30,668 | INFO] 77
[2019-08-23 16:26:31,381 | INFO] 77
[2019-08-23 16:26:31,392 | INFO] d1
[2019-08-23 16:26:32,118 | INFO] ae
[2019-08-23 16:26:32,832 | INFO] 77
[2019-08-23 16:26:32,842 | INFO] d1
[2019-08-23 16:26:32,844 | INFO] 08
[2019-08-23 16:26:33,568 | INFO] af
[2019-08-23 16:26:34,282 | INFO] 77
[2019-08-23 16:26:34,293 | INFO] d1
[2019-08-23 16:26:34,295 | INFO] 09
[2019-08-23 16:26:35,018 | INFO] ae
[2019-08-23 16:26:35,735 | INFO] 77
[2019-08-23 16:26:35,745 | INFO] d1
[2019-08-23 16:26:35,746 | INFO] 08
[2019-08-23 16:26:36,469 | INFO] af
[2019-08-23 16:26:37,186 | INFO] 77
[2019-08-23 16:26:37,197 | INFO] d1
[2019-08-23 16:26:37,198 | INFO] 09
[2019-08-23 16:26:37,921 | INFO] ae
[2019-08-23 16:26:38,636 | INFO] 77
[2019-08-23 16:26:38,647 | INFO] d1
[2019-08-23 16:26:38,648 | INFO] 08
[2019-08-23 16:26:39,371 | INFO] af
[2019-08-23 16:26:40,087 | INFO] 77
[2019-08-23 16:26:40,098 | INFO] d1
[2019-08-23 16:26:40,099 | INFO] 09
[2019-08-23 16:26:40,822 | INFO] ae
[2019-08-23 16:26:41,538 | INFO] 77
[2019-08-23 16:26:41,549 | INFO] d1
[2019-08-23 16:26:41,550 | INFO] 08
[2019-08-23 16:26:42,273 | INFO] af
[2019-08-23 16:26:42,989 | INFO] 77
[2019-08-23 16:26:43,000 | INFO] d1
[2019-08-23 16:26:43,001 | INFO] 09
[2019-08-23 16:26:43,724 | INFO] ae
[2019-08-23 16:26:44,440 | INFO] 77
[2019-08-23 16:26:44,450 | INFO] d1
[2019-08-23 16:26:44,451 | INFO] 08
[2019-08-23 16:26:45,174 | INFO] af
[2019-08-23 16:26:45,888 | INFO] 77
[2019-08-23 16:26:45,900 | INFO] d1
[2019-08-23 16:26:45,901 | INFO] 09
[2019-08-23 16:26:46,625 | INFO] ae
[2019-08-23 16:26:47,339 | INFO] 77
[2019-08-23 16:26:47,351 | INFO] d1
[2019-08-23 16:26:47,353 | INFO] 08
[2019-08-23 16:26:48,076 | INFO] af
[2019-08-23 16:26:48,790 | INFO] 77
[2019-08-23 16:26:48,802 | INFO] d1
[2019-08-23 16:26:48,802 | INFO] 09
[2019-08-23 16:26:49,527 | INFO] ae
[2019-08-23 16:26:50,241 | INFO] 77
[2019-08-23 16:26:50,253 | INFO] d1
[2019-08-23 16:26:50,255 | INFO] 08
[2019-08-23 16:26:50,978 | INFO] af
[2019-08-23 16:26:51,692 | INFO] 77
[2019-08-23 16:26:51,704 | INFO] d1
[2019-08-23 16:26:51,706 | INFO] 09
[2019-08-23 16:26:52,429 | INFO] ae
[2019-08-23 16:26:53,143 | INFO] 77
[2019-08-23 16:26:53,155 | INFO] d1
[2019-08-23 16:26:53,156 | INFO] 08
[2019-08-23 16:26:53,880 | INFO] af
[2019-08-23 16:26:54,594 | INFO] 77
[2019-08-23 16:26:54,606 | INFO] d1
[2019-08-23 16:26:54,606 | INFO] 09
[2019-08-23 16:26:55,331 | INFO] ae
[2019-08-23 16:26:56,044 | INFO] 77
[2019-08-23 16:26:56,057 | INFO] d1
[2019-08-23 16:26:56,058 | INFO] 08
[2019-08-23 16:26:56,781 | INFO] af
[2019-08-23 16:26:57,495 | INFO] 77
[2019-08-23 16:26:57,507 | INFO] d1
[2019-08-23 16:26:57,508 | INFO] 09
[2019-08-23 16:26:58,232 | INFO] ae
[2019-08-23 16:26:58,946 | INFO] 77
[2019-08-23 16:26:58,958 | INFO] d1
[2019-08-23 16:26:58,960 | INFO] 08
[2019-08-23 16:26:59,683 | INFO] af
[2019-08-23 16:27:00,397 | INFO] 77
[2019-08-23 16:27:00,409 | INFO] d1
[2019-08-23 16:27:00,411 | INFO] 09
[2019-08-23 16:27:01,134 | INFO] ae
[2019-08-23 16:27:01,849 | INFO] 77
[2019-08-23 16:27:01,861 | INFO] d1
[2019-08-23 16:27:01,862 | INFO] 08
[2019-08-23 16:27:02,585 | INFO] af
[2019-08-23 16:27:03,299 | INFO] 77
[2019-08-23 16:27:03,311 | INFO] d1
[2019-08-23 16:27:03,312 | INFO] 09
[2019-08-23 16:27:04,036 | INFO] ae
[2019-08-23 16:27:04,750 | INFO] 77
[2019-08-23 16:27:04,762 | INFO] d1
[2019-08-23 16:27:04,763 | INFO] 08
[2019-08-23 16:27:05,487 | INFO] af
[2019-08-23 16:27:06,201 | INFO] 77
[2019-08-23 16:27:06,213 | INFO] d1
[2019-08-23 16:27:06,214 | INFO] 09
[2019-08-23 16:27:06,938 | INFO] ae
[2019-08-23 16:27:07,652 | INFO] 77
[2019-08-23 16:27:07,664 | INFO] d1
[2019-08-23 16:27:07,665 | INFO] 08
[2019-08-23 16:27:08,388 | INFO] af
[2019-08-23 16:27:09,102 | INFO] 77
[2019-08-23 16:27:09,114 | INFO] d1
[2019-08-23 16:27:09,116 | INFO] 09
[2019-08-23 16:27:09,839 | INFO] ae
[2019-08-23 16:27:10,553 | INFO] 77
[2019-08-23 16:27:10,565 | INFO] d1
