[2019-08-26 10:10:44,007 | INFO] starting up on 192.168.1.180 port 40000
[2019-08-26 10:10:44,009 | INFO] Sender thread is now running...
[2019-08-26 10:10:44,009 | INFO] Receiver thread is now running...
[2019-08-26 10:10:45,510 | INFO] 77d1
[2019-08-26 10:10:46,011 | INFO] 08ae
[2019-08-26 10:10:46,536 | INFO] 77d1
[2019-08-26 10:10:47,260 | INFO] 08ae
[2019-08-26 10:10:47,987 | INFO] 77d1
[2019-08-26 10:10:48,712 | INFO] 08ae
[2019-08-26 10:10:49,438 | INFO] 77d1
[2019-08-26 10:10:50,163 | INFO] 08ae
[2019-08-26 10:10:50,889 | INFO] 77d1
[2019-08-26 10:10:51,614 | INFO] 08ae
[2019-08-26 10:10:52,339 | INFO] 77d1
[2019-08-26 10:10:53,064 | INFO] 08ae
[2019-08-26 10:10:53,790 | INFO] 77d1
[2019-08-26 10:10:54,515 | INFO] 08ae
[2019-08-26 10:10:55,241 | INFO] 77d1
[2019-08-26 10:10:55,966 | INFO] 08ae
[2019-08-26 10:10:56,693 | INFO] 77d1
[2019-08-26 10:10:57,418 | INFO] 08ae
[2019-08-26 10:10:58,143 | INFO] 77d1
[2019-08-26 10:10:58,868 | INFO] 08ae
[2019-08-26 10:10:59,594 | INFO] 77d1
[2019-08-26 10:11:00,319 | INFO] 08ae
[2019-08-26 10:11:01,045 | INFO] 77d1
[2019-08-26 10:11:01,770 | INFO] 08ae
[2019-08-26 10:11:02,496 | INFO] 77d1
[2019-08-26 10:11:03,221 | INFO] 08ae
[2019-08-26 10:11:03,946 | INFO] 77d1
[2019-08-26 10:11:04,672 | INFO] 08ae
[2019-08-26 10:11:05,398 | INFO] 77d1
[2019-08-26 10:11:06,123 | INFO] 08ae
[2019-08-26 10:11:06,849 | INFO] 77d1
[2019-08-26 10:11:07,574 | INFO] 08ae
[2019-08-26 10:11:08,299 | INFO] 77d1
[2019-08-26 10:11:09,024 | INFO] 08ae
[2019-08-26 10:11:09,750 | INFO] 77d1
[2019-08-26 10:11:10,475 | INFO] 08ae
[2019-08-26 10:11:11,201 | INFO] 77d1
[2019-08-26 10:11:11,927 | INFO] 08ae
[2019-08-26 10:11:12,652 | INFO] 77d1
[2019-08-26 10:11:13,376 | INFO] 08ae
[2019-08-26 10:11:14,102 | INFO] 77d1
[2019-08-26 10:11:14,827 | INFO] 08ae
[2019-08-26 10:11:15,553 | INFO] 77d1
[2019-08-26 10:11:16,278 | INFO] 08ae
[2019-08-26 10:11:17,004 | INFO] 77d1
[2019-08-26 10:11:17,729 | INFO] 08ae
[2019-08-26 10:11:18,454 | INFO] 77d1
[2019-08-26 10:11:19,179 | INFO] 08ae
[2019-08-26 10:11:19,906 | INFO] 77d1
[2019-08-26 10:11:20,631 | INFO] 08ae
[2019-08-26 10:11:21,357 | INFO] 77d1
[2019-08-26 10:11:22,082 | INFO] 08ae
[2019-08-26 10:11:22,807 | INFO] 77d1
[2019-08-26 10:11:23,533 | INFO] 08ae
[2019-08-26 10:11:24,259 | INFO] 77d1
[2019-08-26 10:11:24,984 | INFO] 08ae
