[2019-08-26 16:17:09,411 | INFO] starting up on 172.16.2.190 port 40000
[2019-08-26 16:17:09,412 | INFO] Sender thread is now running...
[2019-08-26 16:17:09,412 | INFO] Receiver thread is now running...
[2019-08-26 16:17:16,413 | ERROR] RX disconnected 6.00187611579895
[2019-08-26 16:17:22,415 | ERROR] RX disconnected 6.001906156539917
[2019-08-26 16:17:28,417 | ERROR] RX disconnected 6.001883029937744
[2019-08-26 16:17:30,902 | INFO] 08ae
[2019-08-26 16:17:31,626 | INFO] 77d1
[2019-08-26 16:17:32,349 | INFO] 08ae
[2019-08-26 16:17:33,078 | INFO] 77d1
[2019-08-26 16:17:33,801 | INFO] 08ae
[2019-08-26 16:17:34,525 | INFO] 77d1
[2019-08-26 16:17:35,254 | INFO] 08ae
[2019-08-26 16:17:35,977 | INFO] 77d1
[2019-08-26 16:17:36,701 | INFO] 08ae
[2019-08-26 16:17:37,430 | INFO] 77d1
[2019-08-26 16:17:38,154 | INFO] 08ae
[2019-08-26 16:17:38,877 | INFO] 77d1
[2019-08-26 16:17:39,601 | INFO] 08ae
[2019-08-26 16:17:40,330 | INFO] 77d1
[2019-08-26 16:17:41,055 | INFO] 08ae
[2019-08-26 16:17:41,779 | INFO] 77d1
[2019-08-26 16:17:42,503 | INFO] 08ae
[2019-08-26 16:17:43,227 | INFO] 77d1
[2019-08-26 16:17:43,955 | INFO] 08ae
[2019-08-26 16:17:44,679 | INFO] 77d1
[2019-08-26 16:17:45,404 | INFO] 08ae
[2019-08-26 16:17:46,129 | INFO] 77d1
[2019-08-26 16:17:46,853 | INFO] 08ae
[2019-08-26 16:17:47,581 | INFO] 77d1
[2019-08-26 16:17:48,305 | INFO] 08ae
[2019-08-26 16:17:49,030 | INFO] 77d1
[2019-08-26 16:17:49,755 | INFO] 08ae
[2019-08-26 16:17:50,480 | INFO] 77d1
[2019-08-26 16:17:51,207 | INFO] 08ae
[2019-08-26 16:17:51,930 | INFO] 77d1
[2019-08-26 16:17:52,655 | INFO] 08ae
[2019-08-26 16:17:53,380 | INFO] 77d1
[2019-08-26 16:17:54,105 | INFO] 08ae
[2019-08-26 16:17:54,832 | INFO] 77d1
[2019-08-26 16:17:55,556 | INFO] 08ae
[2019-08-26 16:17:56,280 | INFO] 77d1
[2019-08-26 16:17:57,005 | INFO] 08ae
[2019-08-26 16:17:57,733 | INFO] 77d1
[2019-08-26 16:17:58,457 | INFO] 08ae
[2019-08-26 16:17:59,181 | INFO] 77d1
[2019-08-26 16:17:59,905 | INFO] 08ae
[2019-08-26 16:18:00,634 | INFO] 77d1
[2019-08-26 16:18:01,358 | INFO] 08ae
[2019-08-26 16:18:02,082 | INFO] 77d1
[2019-08-26 16:18:02,809 | INFO] 08ae
[2019-08-26 16:18:03,533 | INFO] 77d1
[2019-08-26 16:18:04,257 | INFO] 08ae
[2019-08-26 16:18:04,986 | INFO] 77d1
[2019-08-26 16:18:05,710 | INFO] 08ae
[2019-08-26 16:18:06,433 | INFO] 77d1
[2019-08-26 16:18:07,157 | INFO] 08ae
[2019-08-26 16:18:07,886 | INFO] 77d1
[2019-08-26 16:18:08,610 | INFO] 08ae
[2019-08-26 16:18:09,335 | INFO] 77d1
[2019-08-26 16:18:10,057 | INFO] 08ae
[2019-08-26 16:18:10,787 | INFO] 77d1
[2019-08-26 16:18:11,512 | INFO] 08ae
[2019-08-26 16:18:12,236 | INFO] 77d1
[2019-08-26 16:18:12,960 | INFO] 08ae
[2019-08-26 16:18:13,684 | INFO] 77d1
[2019-08-26 16:18:14,413 | INFO] 08ae
[2019-08-26 16:18:15,136 | INFO] 77d1
[2019-08-26 16:18:15,861 | INFO] 08ae
[2019-08-26 16:18:16,585 | INFO] 77d1
[2019-08-26 16:18:17,314 | INFO] 08ae
[2019-08-26 16:18:18,038 | INFO] 77d1
[2019-08-26 16:18:18,762 | INFO] 08ae
[2019-08-26 16:18:19,487 | INFO] 77d1
[2019-08-26 16:18:20,212 | INFO] 08ae
[2019-08-26 16:18:20,937 | INFO] 77d1
[2019-08-26 16:18:21,664 | INFO] 08ae
[2019-08-26 16:18:22,387 | INFO] 77d1
[2019-08-26 16:18:23,113 | INFO] 08ae
[2019-08-26 16:18:23,837 | INFO] 77d1
[2019-08-26 16:18:24,562 | INFO] 08ae
[2019-08-26 16:18:25,289 | INFO] 77d1
[2019-08-26 16:18:26,014 | INFO] 08ae
[2019-08-26 16:18:26,738 | INFO] 77d1
[2019-08-26 16:18:27,462 | INFO] 08ae
[2019-08-26 16:18:28,191 | INFO] 77d1
