[2019-08-23 14:10:39,781 | INFO] Sender thread is now running...
[2019-08-23 14:10:39,786 | INFO] Receiver thread is now running...
[2019-08-23 14:10:39,787 | INFO] from LMI 3766
[2019-08-23 14:10:44,055 | INFO] Sending kill to threads...
[2019-08-23 14:10:44,798 | INFO] Receiver thread terminated
[2019-08-23 14:10:44,799 | INFO] Sender thread terminated
[2019-08-23 14:10:44,801 | INFO] Program terminated
[2019-08-23 14:11:19,719 | INFO] Sender thread is now running...
[2019-08-23 14:11:19,721 | INFO] Receiver thread is now running...
[2019-08-23 14:11:21,436 | INFO] Sending kill to threads...
[2019-08-23 14:11:21,731 | INFO] Receiver thread terminated
[2019-08-23 14:11:21,731 | INFO] Sender thread terminated
[2019-08-23 14:11:21,733 | INFO] Program terminated
[2019-08-23 14:12:24,181 | INFO] Sender thread is now running...
[2019-08-23 14:12:24,182 | INFO] Receiver thread is now running...
[2019-08-23 14:12:24,212 | INFO] from LMI a1
[2019-08-23 14:12:24,213 | INFO] from LMI 4e
[2019-08-23 14:12:24,214 | INFO] from LMI d1
[2019-08-23 14:12:24,215 | INFO] from LMI e6
[2019-08-23 14:12:24,217 | INFO] from LMI f9
[2019-08-23 14:12:24,218 | INFO] from LMI ef
[2019-08-23 14:12:24,219 | INFO] from LMI f7
[2019-08-23 14:12:24,220 | INFO] from LMI 4e
[2019-08-23 14:12:24,314 | INFO] from LMI 12
[2019-08-23 14:12:24,315 | INFO] from LMI 20
[2019-08-23 14:12:24,316 | INFO] from LMI 6e
[2019-08-23 14:12:24,317 | INFO] from LMI 81
[2019-08-23 14:12:24,318 | INFO] from LMI a1
[2019-08-23 14:12:24,319 | INFO] from LMI 4e
[2019-08-23 14:12:24,320 | INFO] from LMI d1
[2019-08-23 14:12:24,322 | INFO] from LMI e6
[2019-08-23 14:12:24,397 | INFO] from LMI f9
[2019-08-23 14:12:24,399 | INFO] from LMI ef
[2019-08-23 14:12:24,400 | INFO] from LMI f7
[2019-08-23 14:12:24,401 | INFO] from LMI 4e
[2019-08-23 14:12:24,402 | INFO] from LMI 12
[2019-08-23 14:12:24,404 | INFO] from LMI 20
[2019-08-23 14:12:24,405 | INFO] from LMI 6e
[2019-08-23 14:12:24,406 | INFO] from LMI 81
[2019-08-23 14:12:24,500 | INFO] from LMI a1
[2019-08-23 14:12:24,502 | INFO] from LMI 4e
[2019-08-23 14:12:24,503 | INFO] from LMI d1
[2019-08-23 14:12:24,504 | INFO] from LMI e6
[2019-08-23 14:12:24,505 | INFO] from LMI f9
[2019-08-23 14:12:24,506 | INFO] from LMI ef
[2019-08-23 14:12:24,507 | INFO] from LMI f7
[2019-08-23 14:12:24,508 | INFO] from LMI 4e
[2019-08-23 14:12:24,584 | INFO] from RCU 09
[2019-08-23 14:12:24,594 | INFO] from RCU af
